Statement,Label,Estimate,StdErr,DF,tValue,Probt,Alpha,Lower,Upper
51,DIFF;CLINIC;24,14.8956,0.5054,102E3,29.48,<.0001,0.05,13.9051,15.8861
52,STD;EHR;24,140.32,0.4034,102E3,347.84,<.0001,0.05,139.53,141.11
53,INT;EHR;24,128.31,0.3986,102E3,321.94,<.0001,0.05,127.53,129.10
54,DIFF;EHR;24,12.0097,0.4216,102E3,28.49,<.0001,0.05,11.1835,12.8360
55,DIFF;STD;24,4.1336,0.4060,102E3,10.18,<.0001,0.05,3.3378,4.9294
56,DIFF;INT;24,7.0195,0.4004,102E3,17.53,<.0001,0.05,6.2346,7.8043
57,STD;CLINIC;30,134.78,0.4156,102E3,324.31,<.0001,0.05,133.97,135.60
58,INT;CLINIC;30,120.40,0.4139,102E3,290.89,<.0001,0.05,119.58,121.21
59,DIFF;CLINIC;30,14.3894,0.4473,102E3,32.17,<.0001,0.05,13.5127,15.2660
60,STD;EHR;30,140.02,0.3826,102E3,365.92,<.0001,0.05,139.27,140.77
61,INT;EHR;30,127.96,0.3812,102E3,335.66,<.0001,0.05,127.21,128.71
62,DIFF;EHR;30,12.0583,0.3845,102E3,31.36,<.0001,0.05,11.3048,12.8119
63,DIFF;STD;30,5.2320,0.3474,102E3,15.06,<.0001,0.05,4.5511,5.9128
64,DIFF;INT;30,7.5630,0.3449,102E3,21.93,<.0001,0.05,6.8869,8.2391
65,STD;CLINIC;36,135.07,0.4269,102E3,316.36,<.0001,0.05,134.23,135.90
66,INT;CLINIC;36,120.32,0.4240,102E3,283.79,<.0001,0.05,119.49,121.15
67,DIFF;CLINIC;36,14.7505,0.4669,102E3,31.59,<.0001,0.05,13.8353,15.6656
68,STD;EHR;36,139.58,0.3889,102E3,358.87,<.0001,0.05,138.82,140.34
69,INT;EHR;36,128.69,0.3912,102E3,328.97,<.0001,0.05,127.92,129.45
70,DIFF;EHR;36,10.8956,0.4004,102E3,27.21,<.0001,0.05,10.1109,11.6803
71,DIFF;STD;36,4.5127,0.3648,102E3,12.37,<.0001,0.05,3.7978,5.2276
72,DIFF;INT;36,8.3676,0.3644,102E3,22.96,<.0001,0.05,7.6534,9.0818
73,STD;CLINIC;42,134.24,0.4752,102E3,282.49,<.0001,0.05,133.31,135.17
74,INT;CLINIC;42,120.30,0.4695,102E3,256.23,<.0001,0.05,119.38,121.22
75,DIFF;CLINIC;42,13.9409,0.5497,102E3,25.36,<.0001,0.05,12.8634,15.0184
76,STD;EHR;42,139.53,0.4208,102E3,331.56,<.0001,0.05,138.71,140.36
77,INT;EHR;42,129.24,0.4234,102E3,305.25,<.0001,0.05,128.41,130.07
78,DIFF;EHR;42,10.2900,0.4607,102E3,22.34,<.0001,0.05,9.3870,11.1930
79,DIFF;STD;42,5.2887,0.4444,102E3,11.90,<.0001,0.05,4.4177,6.1597
80,DIFF;INT;42,8.9395,0.4417,102E3,20.24,<.0001,0.05,8.0737,9.8053
81,STD;CLINIC;48,133.23,0.6706,102E3,198.66,<.0001,0.05,131.91,134.54
82,INT;CLINIC;48,119.93,0.6550,102E3,183.11,<.0001,0.05,118.65,121.22
83,DIFF;CLINIC;48,13.2927,0.8570,102E3,15.51,<.0001,0.05,11.6130,14.9724
84,STD;EHR;48,138.73,0.5573,102E3,248.92,<.0001,0.05,137.63,139.82
85,INT;EHR;48,129.44,0.5521,102E3,234.44,<.0001,0.05,128.36,130.53
86,DIFF;EHR;48,9.2819,0.6864,102E3,13.52,<.0001,0.05,7.9366,10.6272
87,DIFF;STD;48,5.4999,0.7350,102E3,7.48,<.0001,0.05,4.0592,6.9405
88,DIFF;INT;48,9.5106,0.7180,102E3,13.25,<.0001,0.05,8.1034,10.9178
89,STD;CLINIC;54,134.60,1.9560,102E3,68.81,<.0001,0.05,130.76,138.43
90,INT;CLINIC;54,117.82,1.8979,102E3,62.08,<.0001,0.05,114.10,121.54
91,DIFF;CLINIC;54,16.7726,2.6986,102E3,6.22,<.0001,0.05,11.4833,22.0619
92,STD;EHR;54,138.98,1.3513,102E3,102.85,<.0001,0.05,136.33,141.63
93,INT;EHR;54,131.98,1.7179,102E3,76.83,<.0001,0.05,128.62,135.35
94,DIFF;EHR;54,6.9997,2.1523,102E3,3.25,0.0011,0.05,2.7813,11.2181
95,DIFF;STD;54,4.3844,2.3044,102E3,1.90,0.0571,0.05,-0.1322,8.9010
96,DIFF;INT;54,14.1574,2.4894,102E3,5.69,<.0001,0.05,9.2783,19.0365
